слово idf tf-idf
hot 2.1172712956557644 0.008070919805549293
kj 2.1172712956557644 0.0010120799692427173
loadingnews 2.1172712956557644 0.016141839611098587
@autonews 2.1172712956557644 0.009048167930152841
@bonda 2.1172712956557644 0.00044743687566689864
@europeanpravda 2.1172712956557644 0.001518845979666976
@gazetaru 2.1172712956557644 0.0017426101198812875
@mi 2.1172712956557644 0.00044743687566689864
@olgazeml 2.1172712956557644 0.00044743687566689864
@oxana 2.1172712956557644 0.00044743687566689864
@ru 2.1172712956557644 0.002900371637884609
@telegraf 2.1172712956557644 0.0041232157656392685
@telegrafcomua 2.1172712956557644 0.0013118161683121218
@y_a_n_a 2.1172712956557644 0.00044743687566689864
@yaplakalcom 2.1172712956557644 0.001095329175196981
abba 2.1172712956557644 0.0018189615942059833
abn 2.1172712956557644 0.0007143290471173294
absolver 2.1172712956557644 0.0008448808043319092
abş 2.1172712956557644 0.0015695117091592027
aca 1.816241299991783 0.0018002158991884134
acceleration 2.1172712956557644 0.002686892507177366
accept 2.1172712956557644 0.001209869311803294
account 1.6401500409361018 0.011019304886258813
acer 2.1172712956557644 0.0016897616086638185
action 1.816241299991783 0.0038128923967777374
adam 2.1172712956557644 0.002666588533571492
adata 1.816241299991783 0.0018295605126562849
adblock 2.1172712956557644 0.002422507203267465
address 2.1172712956557644 0.0035229139694771456
adidas 2.1172712956557644 0.0038425976327690825
admin@smi 2.1172712956557644 0.002700601142418067
admixer 2.1172712956557644 0.0013299442811908068
admyaplakal 2.1172712956557644 0.001095329175196981
ads 2.1172712956557644 0.001209869311803294
ads@mir 2.1172712956557644 0.002819269368383175
adv 1.6401500409361018 0.03801791440886012
adv@sovsport 2.1172712956557644 0.001973225811421961
adv@terrikon 2.1172712956557644 0.0013299442811908068
advance 2.1172712956557644 0.006501344817776145
advertising 2.1172712956557644 0.0018605195919646435
aeg 2.1172712956557644 0.002190658350393962
aero 2.1172712956557644 0.0008448808043319092
aerocool 1.816241299991783 0.003765127557005768
afisha 2.1172712956557644 0.005176702434366172
afropinguin 2.1172712956557644 0.001095329175196981
afterlife 2.1172712956557644 0.0037808415993852936
age 2.1172712956557644 0.004226090410490548
agency 2.1172712956557644 0.004226090410490548
agiptm 2.1172712956557644 0.002190658350393962
agreement 2.1172712956557644 0.001209869311803294
ahoboy 2.1172712956557644 0.0018904207996926468
aiba 2.1172712956557644 0.0008472474172291976
aibolita 2.1172712956557644 0.001095329175196981
aida 2.1172712956557644 0.0017721458846250383
aif 2.1172712956557644 0.011617400799208583
aim 2.1172712956557644 0.0024821468882248116
aiprotection 2.1172712956557644 0.0008448808043319092
air 1.6401500409361018 0.005129119612247744
airpods 2.1172712956557644 0.0008448808043319092
airways 2.1172712956557644 0.0015695117091592027
aisyah 2.1172712956557644 0.0008472474172291976
al 2.1172712956557644 0.001095329175196981
